Tramo;Zona;1984-1987;1987-1992;1992-1996;1996-2000;2000-2004;2004-2008;2008-2012;2012-2016;2016-2020
1;A1;86415.522;121681.906;68603.306;140710.709;81530.279;109441.055;67220.961;303216.311;80408.549
2;A1;142033.965;169154.263;67629.248;165782.331;134932.36;149195.835;110946.912;252093.349;81529.323
3;A1;114496.49;105109.175;43701.629;173983.158;30504.174;84954.356;162540.048;198521.456;130539.103
4;A1;137143.454;112684.723;64571.506;202329.757;137423.098;123829.05;348107.471;163825.857;193553.173
5;A1;262959.861;103852.59;80592.349;145549.654;172954.461;126395.07;147531.187;213473.564;167338.232
6;A1;337980.875;211089.53;108420.191;307990.167;130508.242;124800.281;109844.465;355812.174;291305.042
7;A1;247544.765;329912.446;255274.607;309736.257;347528.205;102039.558;149871.298;182456.598;338195.739
8;A1;200713.015;187953.562;194816.445;179720.486;351901.218;83359.637;96436.961;242416.744;233356.732
9;A1;341310.061;157365.562;29643.99;97776.369;57414.776;146174.981;139788.264;189970.906;177946.1
10;A1;192922.025;126687.714;80663.887;108952.938;109200.075;99180.755;89109.779;141029.975;108463.3
11;A2;184222.892;235137.279;159974.951;244007.521;201496.353;261393.576;294367.837;130319.364;230530.576
12;A2;312596.493;281931.577;207880.782;165057.605;199527.254;502544.22;302060.503;405269.888;292009.499
13;A2;369298.43;323596.592;263484.483;409197.288;152178.211;549912.51;312466.688;316049.129;268666.269
14;A2;187337.68;351595.183;131650.52;257534.118;179741.69;516201.04;328724.199;355058.176;316191.603
15;A2;229203.648;113051.156;149941.814;263811.524;182206.041;208036.01;117512.25;163583.506;249555.505
16;A2;108727.67;163324.623;141788.612;177711.766;164604.164;214228.724;169680.288;288690.19;184401.444
17;A2;145756.961;159374.492;214526.704;231313.765;275862.23;376187.671;213953.942;454572.405;456389.957
18;A2;98442.992;68112.168;93049.353;93499.192;205269.031;364711.565;154244.807;263509.067;242334.29
19;A2;92119.103;100876.933;119326.526;76294.359;180734.425;199717.788;49767.81;22193.553;146577.133
20;A2;191509.124;93166.903;151408.633;112898.155;199178.382;247689.268;219422.93;288600.927;195384.896
21;A2;63325.517;72099.937;67443.486;75954.713;83127.081;228689.69;172771.34;141310.111;238568.567
22;A2;474976.57;490237.891;185412.617;368689.065;199216.535;268938.567;212324.521;117847.811;169025.599
23;A3;239710.644;131402.668;125786.577;328292.139;150891.562;158297.383;99869.489;116439.497;154457.221
24;A3;257601.516;215044.344;121419.515;221157.617;280239.828;246541.818;370451.172;336873.02;468958.378
25;A3;109443.955;129892.85;61771.308;210166.769;97341.673;144079.333;151341.357;138029.333;199139.094
26;A3;162857.423;97758.794;46369.587;174257.163;83861.803;102465.273;143871.72;90872.596;142660.706
27;A3;147239.467;195181.004;65261.215;193926.258;189506.415;156037.809;199262.583;302914.12;197065.939
28;A3;118146.834;74504.449;38386.018;109427.182;49773.491;79206.623;90407.553;104569.584;52806.897
29;A3;206789.112;210293.43;83233.704;262353.334;256486.088;122682.135;426058.713;351012.439;211853.948
30;A3;134463.118;74783.02;95038.528;134586.503;108843.069;59391.743;169849.768;76766.402;70084.623
31;A3;121288.748;83877.312;56203.762;96341.722;146418.918;109671.507;206129.976;169443.88;158281.062
32;A3;125895.521;47294.783;21596.08;48980.483;86184.599;21533.937;111128.268;36828.842;44180.724
33;A3;88926.116;59078.039;22884.657;187129.004;31017.025;26026.931;156378.304;70550.38;25256.858
34;A3;59581.287;81478.547;22251.776;147823.256;46174.456;10235.436;107234.132;37087.506;27497.921
35;A3;154518.493;147475.921;76651.474;178292.219;92034.442;39739.954;138263.817;118450.821;40721.127
36;A3;130695.888;213004.395;104363.355;188491.473;148739.717;96521.227;107598.562;78031.801;91306.875
37;A3;97743.882;85202.205;18319.028;116687.281;79222.406;71093.439;60553.851;127016.792;56770.806
38;A3;18752.473;16232.485;7997.622;11342.754;936.412;6975.221;13497.654;4353.251;8620.459
;;;;;;;;;;
