Year;River Segments;Migracion (m/year);Periodo;Zone
1984-1987;1;2.2913;Minimal mining;A1
1984-1987;1;4.1927;Minimal mining;A1
1984-1987;1;4.2407;Minimal mining;A1
1984-1987;1;5.5177;Minimal mining;A1
1984-1987;1;6.4247;Minimal mining;A1
1984-1987;1;7.0427;Minimal mining;A1
1984-1987;1;7.941;Minimal mining;A1
1984-1987;1;8.025;Minimal mining;A1
1984-1987;1;8.0327;Minimal mining;A1
1984-1987;1;8.2523;Minimal mining;A1
1984-1987;1;8.302;Minimal mining;A1
1984-1987;1;8.6903;Minimal mining;A1
1984-1987;1;8.8343;Minimal mining;A1
1984-1987;1;8.8867;Minimal mining;A1
1984-1987;1;9.5997;Minimal mining;A1
1984-1987;1;9.6833;Minimal mining;A1
1984-1987;1;9.942;Minimal mining;A1
1984-1987;1;10.52;Minimal mining;A1
1984-1987;1;11.588;Minimal mining;A1
1984-1987;1;11.9093;Minimal mining;A1
1984-1987;1;11.914;Minimal mining;A1
1984-1987;1;12.2817;Minimal mining;A1
1984-1987;1;12.9087;Minimal mining;A1
1984-1987;1;13.14;Minimal mining;A1
1984-1987;1;14.1913;Minimal mining;A1
1984-1987;1;14.4327;Minimal mining;A1
1984-1987;1;15.063;Minimal mining;A1
1984-1987;1;15.3297;Minimal mining;A1
1984-1987;1;15.3973;Minimal mining;A1
1984-1987;1;15.608;Minimal mining;A1
1984-1987;1;15.9837;Minimal mining;A1
1984-1987;1;16.0023;Minimal mining;A1
1984-1987;1;16.1843;Minimal mining;A1
1984-1987;1;16.4257;Minimal mining;A1
1984-1987;1;17.7397;Minimal mining;A1
1984-1987;1;19.2363;Minimal mining;A1
1984-1987;1;19.854;Minimal mining;A1
1984-1987;1;21.114;Minimal mining;A1
1984-1987;1;21.3943;Minimal mining;A1
1984-1987;1;21.6873;Minimal mining;A1
1984-1987;1;21.859;Minimal mining;A1
1984-1987;1;22.2863;Minimal mining;A1
1984-1987;1;22.6753;Minimal mining;A1
1984-1987;1;22.9377;Minimal mining;A1
1984-1987;1;23.1007;Minimal mining;A1
1984-1987;1;23.5907;Minimal mining;A1
1984-1987;1;24.5517;Minimal mining;A1
1984-1987;1;25.5813;Minimal mining;A1
1984-1987;1;25.786;Minimal mining;A1
1984-1987;1;30.1377;Minimal mining;A1
1984-1987;1;30.6987;Minimal mining;A1
1984-1987;1;31.119;Minimal mining;A1
1984-1987;1;33.609;Minimal mining;A1
1984-1987;1;35.79;Minimal mining;A1
1984-1987;1;52.8113;Minimal mining;A1
1984-1987;1;53.3333;Minimal mining;A1
