Year;Segment;Average width;Sinuosity;Wavelength;Semimeander length;LevelOfImpact;Zone;Period
1984;1;64.296;1.76;172.964;304.352;1;1;Minimal mining
1984;1;71.163;2.247;119.095;267.547;1;1;Minimal mining
1984;1;38.052;1.03;263.186;271.205;1;1;Minimal mining
1984;1;57.252;1.03;263.186;271.205;1;1;Minimal mining
1984;1;58.167;1.333;320.708;427.496;1;1;Minimal mining
1984;1;61.419;1.119;151.545;169.609;1;1;Minimal mining
1984;1;57.393;1.019;185.365;188.818;1;1;Minimal mining
1984;1;56.062;2.534;202.947;514.172;1;1;Minimal mining
1984;1;57.724;1.17;395.272;462.569;1;1;Minimal mining
1984;1;63.417;1.04;388.763;404.216;1;1;Minimal mining
1984;1;98.99;1.202;325.826;391.8;1;1;Minimal mining
1984;1;66.316;1.17;618.817;724.182;1;1;Minimal mining
1984;1;134.139;1.105;146.25;161.56;1;1;Minimal mining
1984;1;67.993;1.099;279.618;307.34;1;1;Minimal mining
1984;1;70.66;1.406;261.235;367.202;1;1;Minimal mining
1987;1;59.01;1.613;240.39;387.729;1;1;Minimal mining
1987;1;64.109;1.784;128.047;228.372;1;1;Minimal mining
1987;1;63.475;2.53;108.356;274.148;1;1;Minimal mining
1987;1;67.298;1.25;607.387;759.22;1;1;Minimal mining
1987;1;61.563;1.163;193.76;225.357;1;1;Minimal mining
1987;1;64.489;1.005;194.75;195.727;1;1;Minimal mining
1987;1;82.081;2.368;175.12;414.618;1;1;Minimal mining
1987;1;66.416;1.188;408.158;484.746;1;1;Minimal mining
1987;1;82.466;1.038;429.558;445.887;1;1;Minimal mining
1987;1;123.863;1.206;281.755;339.718;1;1;Minimal mining
1987;1;84.201;1.154;615.338;710.304;1;1;Minimal mining
1987;1;164.228;1.096;171.906;188.405;1;1;Minimal mining
1987;1;86.968;1.078;283.582;305.776;1;1;Minimal mining
1987;1;130.77;1.268;372.418;472.088;1;1;Minimal mining
1992;1;55.695;2.26;139.882;316.079;1;1;Minimal mining
1992;1;52.944;2.694;103.947;280.042;1;1;Minimal mining
1992;1;51.141;1.537;126.106;193.887;1;1;Minimal mining
1992;1;56.42;1.163;114.292;132.961;1;1;Minimal mining
1992;1;66.458;1.432;414.319;593.29;1;1;Minimal mining
1992;1;54.9;1.247;154.565;192.707;1;1;Minimal mining
1992;1;60.383;1.022;194.008;198.247;1;1;Minimal mining
1992;1;74.472;1.716;215.082;369.16;1;1;Minimal mining
1992;1;71.493;1.242;236.645;293.882;1;1;Minimal mining
